qs1,qs2,qs3,qs4,qs5,merge1,partition_sort
0.04000043869018555,0.05251002311706543,0.05200028419494629,0.051516056060791016,0.050000905990600586,0.054511308670043945,0.028999805450439453
0.0390019416809082,0.050513505935668945,0.052004337310791016,0.052506208419799805,0.05051302909851074,0.054512977600097656,0.027998924255371094
0.039513587951660156,0.05300164222717285,0.05251479148864746,0.05699801445007324,0.04951190948486328,0.05299997329711914,0.027512550354003906
0.037998199462890625,0.05176806449890137,0.05153679847717285,0.05551338195800781,0.04899787902832031,0.052512407302856445,0.028002023696899414
0.037998199462890625,0.05251646041870117,0.05199790000915527,0.05451202392578125,0.04900240898132324,0.05302691459655762,0.027999401092529297
0.03951311111450195,0.0520014762878418,0.05261039733886719,0.05100226402282715,0.04951930046081543,0.05500197410583496,0.028003692626953125
0.04426312446594238,0.053009986877441406,0.0555112361907959,0.056145668029785156,0.051996469497680664,0.05351901054382324,0.028001785278320312
0.039000511169433594,0.053510427474975586,0.0559992790222168,0.051517486572265625,0.05100560188293457,0.052512407302856445,0.028999805450439453
0.038515329360961914,0.05099821090698242,0.05151844024658203,0.05299782752990723,0.048517704010009766,0.053999900817871094,0.029006481170654297
0.04061150550842285,0.05099964141845703,0.05452084541320801,0.05400562286376953,0.04950857162475586,0.05300617218017578,0.027508020401000977
0.03899979591369629,0.052777767181396484,0.05200004577636719,0.05251574516296387,0.04899787902832031,0.05351424217224121,0.028002262115478516
0.04000234603881836,0.052516937255859375,0.052110910415649414,0.051506757736206055,0.048003435134887695,0.05651378631591797,0.02799844741821289
0.03951239585876465,0.0520021915435791,0.05051159858703613,0.05200004577636719,0.0515141487121582,0.05199742317199707,0.02851581573486328
0.03808450698852539,0.053005218505859375,0.05001521110534668,0.055513858795166016,0.04999971389770508,0.052513837814331055,0.02700209617614746
0.03899788856506348,0.05352663993835449,0.051996469497680664,0.05451607704162598,0.048998117446899414,0.05151247978210449,0.026999473571777344
0.03951215744018555,0.05099987983703613,0.056514739990234375,0.05900001525878906,0.04950857162475586,0.05499982833862305,0.02751469612121582
0.040004730224609375,0.055005788803100586,0.05350852012634277,0.0535125732421875,0.048998355865478516,0.05351591110229492,0.0279998779296875
0.03900337219238281,0.05251455307006836,0.05399584770202637,0.052515268325805664,0.05000042915344238,0.05351066589355469,0.028002262115478516
0.039511919021606445,0.053003787994384766,0.05550861358642578,0.052001953125,0.04951167106628418,0.05200004577636719,0.027004003524780273
0.03850865364074707,0.05400681495666504,0.05150747299194336,0.05100607872009277,0.04850888252258301,0.052095890045166016,0.02850794792175293
0.04000210762023926,0.05051159858703613,0.051999807357788086,0.05151176452636719,0.04900193214416504,0.05251193046569824,0.0280001163482666
0.03900003433227539,0.05251336097717285,0.05400228500366211,0.05150651931762695,0.04900836944580078,0.05550813674926758,0.02899765968322754
0.03951525688171387,0.05299782752990723,0.050594329833984375,0.05099797248840332,0.05051231384277344,0.05374908447265625,0.028005123138427734
0.03950905799865723,0.05300569534301758,0.0527949333190918,0.056510210037231445,0.048999786376953125,0.05251574516296387,0.026998281478881836
0.039002180099487305,0.05151104927062988,0.05300307273864746,0.04951000213623047,0.04999995231628418,0.054520606994628906,0.027989864349365234
0.03900337219238281,0.053510189056396484,0.05351829528808594,0.05230355262756348,0.04851341247558594,0.051998138427734375,0.02700042724609375
0.03851485252380371,0.05299806594848633,0.053513526916503906,0.051000118255615234,0.04951214790344238,0.0520024299621582,0.02851104736328125
0.039002180099487305,0.05351519584655762,0.052995920181274414,0.053510427474975586,0.053000450134277344,0.053514957427978516,0.0280001163482666
0.03800010681152344,0.05251169204711914,0.053003549575805664,0.052510738372802734,0.04800844192504883,0.05250859260559082,0.027997732162475586
0.0405120849609375,0.0520014762878418,0.05351829528808594,0.05299973487854004,0.049512386322021484,0.053002357482910156,0.028005599975585938
