datetime,Bx,By
2023-05-10 19:21:52+00:00,15.605781329923273,9.150936061381074
2023-05-10 19:21:56+00:00,19.166428179551122,9.833914962593516
2023-05-10 19:22:00+00:00,14.971413,5.110946
2023-05-10 19:22:04+00:00,17.802099875156056,7.163136329588015
2023-05-10 19:22:08+00:00,19.2151082382763,5.171501140684411
2023-05-10 19:22:12+00:00,18.34634144486692,5.0102724968314325
2023-05-10 19:22:16+00:00,17.19056909765142,5.360610630407911
2023-05-10 19:22:20+00:00,17.101904193138502,7.886269123252859
2023-05-10 19:22:24+00:00,-0.33506591760299637,-0.9624901373283397
2023-05-10 19:22:28+00:00,-5.978805230386052,-7.395235865504358
2023-05-10 19:22:32+00:00,-6.695000997506234,-7.001887281795511
2023-05-10 19:22:36+00:00,-7.028676923076922,-4.660892307692308
2023-05-10 19:22:40+00:00,-4.686899748743718,-4.19448567839196
2023-05-10 19:22:44+00:00,-4.615793275217933,-8.568502117061021
2023-05-10 19:22:48+00:00,11.26750223325062,6.582974689826303
2023-05-10 19:22:52+00:00,15.6392715,0.77993075
2023-05-10 19:22:56+00:00,17.374700502512564,3.959804271356784
2023-05-10 19:23:00+00:00,18.47709230769231,3.9771846153846155
2023-05-10 19:23:04+00:00,16.390353846153847,12.289738461538462
2023-05-10 19:23:08+00:00,7.334228287841191,27.478759305210918
2023-05-10 19:23:12+00:00,5.479240590405904,26.567278228782286
2023-05-10 19:23:16+00:00,-2.825382619339045,28.82314957160343
2023-05-10 19:23:20+00:00,-2.456780558930741,29.61525540704739
2023-05-10 19:23:24+00:00,1.3095218249075213,29.415583970406907
2023-05-10 19:23:28+00:00,3.0038521739130437,18.52089661835749
2023-05-10 19:23:32+00:00,15.530931286894923,4.804279338842975
2023-05-10 19:23:36+00:00,15.53965300353357,5.127563722025912
2023-05-10 19:23:40+00:00,17.96942914691943,9.886697867298578
2023-05-10 19:23:44+00:00,16.937666666666665,9.843671666666665
2023-05-10 19:23:48+00:00,18.645158333333335,10.908717142857142
2023-05-10 19:23:52+00:00,18.331447924080663,8.707833214709371
2023-05-10 19:23:56+00:00,19.20198956109134,7.313342823250297
2023-05-10 19:24:00+00:00,16.918767216981134,9.886157783018866
2023-05-10 19:24:04+00:00,17.104340920096853,12.400561501210653
